City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
Nchelenge,1,ZM,1622155485,"{'temp': 61.5, 'feels_like': 60.31, 'temp_min': 61.5, 'temp_max': 61.5, 'pressure': 1017, 'humidity': 63, 'sea_level': 1017, 'grnd_level': 912}",-9.3451,28.734,61.5,6.04
Praia,20,CV,1622155485,"{'temp': 72.14, 'feels_like': 72.48, 'temp_min': 72.14, 'temp_max': 72.14, 'pressure': 1015, 'humidity': 73}",14.9215,-23.5087,72.14,14.97
Tutóia,39,BR,1622155486,"{'temp': 79.7, 'feels_like': 79.7, 'temp_min': 79.7, 'temp_max': 79.7, 'pressure': 1011, 'humidity': 77, 'sea_level': 1011, 'grnd_level': 1010}",-2.7619,-42.2744,79.7,7.16
Ternate,56,ID,1622155486,"{'temp': 81.88, 'feels_like': 87.78, 'temp_min': 81.88, 'temp_max': 81.88, 'pressure': 1012, 'humidity': 77, 'sea_level': 1012, 'grnd_level': 1012}",0.8,127.4,81.88,3.27
Pevek,55,RU,1622155486,"{'temp': 37.58, 'feels_like': 37.58, 'temp_min': 37.58, 'temp_max': 37.58, 'pressure': 1018, 'humidity': 70, 'sea_level': 1018, 'grnd_level': 1012}",69.7008,170.3133,37.58,0.98
Nome,1,US,1622155486,"{'temp': 53.67, 'feels_like': 50.61, 'temp_min': 53.67, 'temp_max': 59.11, 'pressure': 1009, 'humidity': 40}",64.5011,-165.4064,59.11,8.05
New Norfolk,36,AU,1622155487,"{'temp': 41.86, 'feels_like': 41.86, 'temp_min': 38.88, 'temp_max': 44.58, 'pressure': 1027, 'humidity': 71}",-42.7826,147.0587,44.58,1.99
Lázaro Cárdenas,100,MX,1622155487,"{'temp': 86.09, 'feels_like': 88.92, 'temp_min': 86.09, 'temp_max': 86.09, 'pressure': 1010, 'humidity': 53, 'sea_level': 1010, 'grnd_level': 1009}",17.9583,-102.2,86.09,10.0
Karpinsk,95,RU,1622155487,"{'temp': 44.26, 'feels_like': 44.26, 'temp_min': 44.26, 'temp_max': 44.26, 'pressure': 1020, 'humidity': 59, 'sea_level': 1020, 'grnd_level': 993}",59.7654,60.0085,44.26,2.77
Mar del Plata,0,AR,1622155344,"{'temp': 61.54, 'feels_like': 59.65, 'temp_min': 59.02, 'temp_max': 64.09, 'pressure': 997, 'humidity': 48}",-38.0023,-57.5575,64.09,13.0
Yar-Sale,77,RU,1622155488,"{'temp': 34.14, 'feels_like': 29.43, 'temp_min': 34.14, 'temp_max': 34.14, 'pressure': 1017, 'humidity': 71, 'sea_level': 1017, 'grnd_level': 1017}",66.8333,70.8333,34.14,5.19
Severo-Kuril'sk,89,RU,1622155488,"{'temp': 39.99, 'feels_like': 33.4, 'temp_min': 39.99, 'temp_max': 39.99, 'pressure': 1009, 'humidity': 80, 'sea_level': 1009, 'grnd_level': 1008}",50.6789,156.125,39.99,10.54
Outjo,0,NA,1622155489,"{'temp': 56.97, 'feels_like': 54.34, 'temp_min': 56.97, 'temp_max': 56.97, 'pressure': 1020, 'humidity': 42, 'sea_level': 1020, 'grnd_level': 879}",-20.1167,16.15,56.97,5.77
Tallahassee,20,US,1622155213,"{'temp': 87.91, 'feels_like': 92.41, 'temp_min': 84.67, 'temp_max': 91.6, 'pressure': 1016, 'humidity': 54}",30.4383,-84.2807,91.6,1.01
Kapaa,20,US,1622155489,"{'temp': 82.18, 'feels_like': 86.56, 'temp_min': 81.19, 'temp_max': 82.72, 'pressure': 1019, 'humidity': 69}",22.0752,-159.319,82.72,1.99
Tuktoyaktuk,75,CA,1622155489,"{'temp': 28.4, 'feels_like': 19.08, 'temp_min': 28.4, 'temp_max': 28.4, 'pressure': 1013, 'humidity': 86}",69.4541,-133.0374,28.4,10.36
Marovoay,0,MG,1622155490,"{'temp': 69.94, 'feels_like': 69.6, 'temp_min': 69.94, 'temp_max': 69.94, 'pressure': 1017, 'humidity': 63, 'sea_level': 1017, 'grnd_level': 1016}",-16.1,46.6333,69.94,1.61
Asău,97,RO,1622155490,"{'temp': 56.43, 'feels_like': 56.46, 'temp_min': 54.28, 'temp_max': 60.76, 'pressure': 1012, 'humidity': 100}",46.4333,26.4,60.76,3.85
Atuona,12,PF,1622155490,"{'temp': 78.96, 'feels_like': 78.96, 'temp_min': 78.96, 'temp_max': 78.96, 'pressure': 1012, 'humidity': 73, 'sea_level': 1012, 'grnd_level': 1005}",-9.8,-139.0333,78.96,14.23
Puerto Ayora,46,EC,1622155491,"{'temp': 75.54, 'feels_like': 77.07, 'temp_min': 75.54, 'temp_max': 75.54, 'pressure': 1011, 'humidity': 91}",-0.7393,-90.3518,75.54,8.01
Hilo,20,US,1622155127,"{'temp': 79.97, 'feels_like': 79.97, 'temp_min': 79.11, 'temp_max': 82.8, 'pressure': 1020, 'humidity': 69}",19.7297,-155.09,82.8,12.66
Nara,99,JP,1622155393,"{'temp': 65.71, 'feels_like': 65.46, 'temp_min': 62.98, 'temp_max': 66.49, 'pressure': 1009, 'humidity': 74, 'sea_level': 1009, 'grnd_level': 1002}",34.6851,135.8049,66.49,3.47
Kalianget,29,ID,1622155491,"{'temp': 81.23, 'feels_like': 87.39, 'temp_min': 81.23, 'temp_max': 81.23, 'pressure': 1012, 'humidity': 82, 'sea_level': 1012, 'grnd_level': 1011}",-7.05,113.9333,81.23,12.57
Sarkand,100,KZ,1622155491,"{'temp': 62.92, 'feels_like': 62.35, 'temp_min': 62.92, 'temp_max': 62.92, 'pressure': 1014, 'humidity': 73, 'sea_level': 1014, 'grnd_level': 926}",45.41,79.9186,62.92,6.46
Vila Franca do Campo,49,PT,1622155492,"{'temp': 59.41, 'feels_like': 58.62, 'temp_min': 59.41, 'temp_max': 59.41, 'pressure': 1025, 'humidity': 76, 'sea_level': 1025, 'grnd_level': 1022}",37.7167,-25.4333,59.41,5.44
Katangli,99,RU,1622155492,"{'temp': 41.99, 'feels_like': 36.93, 'temp_min': 41.99, 'temp_max': 41.99, 'pressure': 1007, 'humidity': 77, 'sea_level': 1007, 'grnd_level': 1004}",51.7102,143.2326,41.99,8.16
Cape Town,75,ZA,1622155338,"{'temp': 59.77, 'feels_like': 59.22, 'temp_min': 59.09, 'temp_max': 61.21, 'pressure': 1018, 'humidity': 80}",-33.9258,18.4232,61.21,4.0
Barrow,90,US,1622155493,"{'temp': 33.82, 'feels_like': 23.94, 'temp_min': 33.82, 'temp_max': 33.82, 'pressure': 1021, 'humidity': 75}",71.2906,-156.7887,33.82,14.97
George Town,20,MY,1622155250,"{'temp': 78.57, 'feels_like': 80.26, 'temp_min': 77.95, 'temp_max': 78.89, 'pressure': 1009, 'humidity': 88}",5.4112,100.3354,78.89,1.01
Mount Gambier,90,AU,1622155493,"{'temp': 48.11, 'feels_like': 45.55, 'temp_min': 48.11, 'temp_max': 48.11, 'pressure': 1033, 'humidity': 100}",-37.8333,140.7667,48.11,5.75
Quatre Cocos,25,MU,1622155493,"{'temp': 73.09, 'feels_like': 74.25, 'temp_min': 71.71, 'temp_max': 73.09, 'pressure': 1017, 'humidity': 88, 'sea_level': 1017, 'grnd_level': 1013}",-20.2078,57.7625,73.09,8.01
Saint Paul Harbor,1,US,1622155494,"{'temp': 53.11, 'feels_like': 51.22, 'temp_min': 53.11, 'temp_max': 53.11, 'pressure': 1008, 'humidity': 66}",57.79,-152.4072,53.11,6.91
Novo Aripuanã,79,BR,1622155494,"{'temp': 82.36, 'feels_like': 85.78, 'temp_min': 82.36, 'temp_max': 82.36, 'pressure': 1009, 'humidity': 64, 'sea_level': 1009, 'grnd_level': 1005}",-5.1206,-60.3797,82.36,1.86
Troitsko-Pechorsk,100,RU,1622155494,"{'temp': 37.67, 'feels_like': 34.39, 'temp_min': 37.67, 'temp_max': 37.67, 'pressure': 1017, 'humidity': 97, 'sea_level': 1017, 'grnd_level': 1002}",62.7084,56.1964,37.67,4.25
Butaritari,95,KI,1622155495,"{'temp': 83.91, 'feels_like': 93.36, 'temp_min': 83.91, 'temp_max': 83.91, 'pressure': 1010, 'humidity': 79, 'sea_level': 1010, 'grnd_level': 1009}",3.0707,172.7902,83.91,18.88
Chokurdakh,5,RU,1622155495,"{'temp': 40.98, 'feels_like': 34.54, 'temp_min': 40.98, 'temp_max': 40.98, 'pressure': 1013, 'humidity': 57, 'sea_level': 1013, 'grnd_level': 1009}",70.6333,147.9167,40.98,10.8
Dingle,93,PH,1622155495,"{'temp': 82, 'feels_like': 88.56, 'temp_min': 82, 'temp_max': 82, 'pressure': 1012, 'humidity': 79, 'sea_level': 1012, 'grnd_level': 1008}",10.9995,122.6711,82.0,3.47
Bengkulu,97,ID,1622155496,"{'temp': 76.21, 'feels_like': 77.76, 'temp_min': 76.21, 'temp_max': 76.21, 'pressure': 1011, 'humidity': 90, 'sea_level': 1011, 'grnd_level': 1009}",-3.8004,102.2655,76.21,3.87
Kungurtug,64,RU,1622155496,"{'temp': 49.26, 'feels_like': 49.26, 'temp_min': 49.26, 'temp_max': 49.26, 'pressure': 1006, 'humidity': 76, 'sea_level': 1006, 'grnd_level': 861}",50.5994,97.5228,49.26,1.72
